NAME,LATDD,LONGDD,IS_DUPLICATE,VILLA
ACHAR,-0.25,34.03,1,ACHAR
ACHEGO,-0.52,34.58,1,ACHEGO
ACHIERO,-0.6,34.05,1,ACHIERO
ACHIPTERUSS,1.87,35.22,1,ACHIPTERUSS
ACHIVWA,-3.77,39.15,1,ACHIVWA
ACHIVWA,-3.77,39.15,2,ACHIVWA
ACHOL,-0.53,34.35,1,ACHOL
ACHUME,-0.52,34.58,1,ACHUME
ACHUTH,-1.03,34.53,1,ACHUTH
ACTONROAD,-0.05,34.72,1,ACTONROAD
ADA,-4.2,39.08,1,ADA
ADA,-4.2,39.08,2,ADA
ADA,-4.2,39.08,3,ADA
ADA,-4.2,39.08,4,ADA
ADABLI,0.82,40.43,1,ADABLI
ADABOTA,-0.42,39.53,1,ADABOTA
ADADA,3.05,38.9,1,ADADA
ADADI,3.4,38.77,1,ADADI
ADAWACHEKE,1.85,36.98,1,ADAWACHEKE
ADE,2.6,39.12,1,ADE
ADDE MELKA,1.02,39.43,1,ADDE MELKA
ADDE MELKA,1.02,39.43,2,ADDE MELKA
ADE WEL,1.65,40.97,1,ADE WEL
ADEDERTU,-0.35,39.78,1,ADEDERTU
ADEDER,0.3,40.68,1,ADEDER
ADEDER,0.3,40.68,2,ADEDER
ADEDER,0.78,40.43,3,ADEDER
ADEDER,0.78,40.43,4,ADEDER
ADENAWALE,2.13,39.27,1,ADENAWALE
ADENKAALIGOLIO,2.63,40.1,1,ADENKAALIGOLIO
ADENKAALIGOLIO,2.63,40.1,2,ADENKAALIGOLIO
ADHIRO,-0.38,34.53,1,ADHIRO
ADDI,-1.85,39.3,1,ADDI
ADDI,-1.85,39.3,2,ADDI
ADI EL,3.82,37.55,1,ADI EL
ADI KUBI,2.32,38.03,1,ADI KUBI
ADIEDO,-0.43,34.6,1,ADIEDO
ADILAKAPEL,2.8,36.28,1,ADILAKAPEL
ADILE,3.03,39.7,1,ADILE
ADIMASAWMILL,-0.57,35.97,1,ADIMASAWMILL
ADINGO,-0.35,34.93,1,ADINGO
ADINGOOPANGA,-0.37,34.85,1,ADINGOOPANGA
ADO OLKEJU,-2.45,37.28,1,ADO OLKEJU
ADO OLKEJU,-2.45,37.28,2,ADO OLKEJU
ADO OLKEJU,-2.45,37.28,3,ADO OLKEJU
ADOKETNGITHIKIRIA,1.9,36.35,1,ADOKETNGITHIKIRIA
ADOMEYAN,0.85,36.12,1,ADOMEYAN
ADRUKOIT,1.37,34.92,1,ADRUKOIT
ADUDUSHE,0.12,34.68,1,ADUDUSHE
AFALO,3.52,40.22,1,AFALO
AFAMBUK,-0.02,39.02,1,AFAMBUK
AFAR,3.03,39.25,1,AFAR
AFATU,2.37,40.28,1,AFATU
AFATU,2.37,40.28,2,AFATU
AFGAB,3.18,37.53,1,AFGAB
AFGUDUD LAGA,2.87,38.78,1,AFGUDUD LAGA
AFIEJI LAGA,-2.13,39.75,1,AFIEJI LAGA
AFTUTI,-2.47,39.32,1,AFTUTI
AFUR,4.32,37.12,1,AFUR
AFUR,4.32,37.12,2,AFUR
AFUR,4.32,37.12,3,AFUR
AFUR,4.32,37.12,4,AFUR
AFWEIN,0.43,39.42,1,AFWEIN
AFWEIN LAK,0.48,39.65,1,AFWEIN LAK
AFYUR,1.65,40.08,1,AFYUR
AGA,-0.6,39.58,1,AGA
AGA,-0.6,39.57,2,AGA
AGAI,-0.4,35.57,1,AGAI
AGENGA,-0.93,34.25,1,AGENGA
AGENGA,-0.05,34.65,2,AGENGA
AGETOGIR,3.73,35.72,1,AGETOGIR
AGETOGIR,3.73,35.72,2,AGETOGIR
AGITOR,2.02,35.47,1,AGITOR
AGOLOMUOK,-0.78,34.12,1,AGOLOMUOK
AGONDA,-0.02,34.03,1,AGONDA
AGORO,-0.25,34.95,1,AGORO
AGORO,-0.05,34.8,2,AGORO
AGOROSARE,-0.05,34.73,1,AGOROSARE
AGOROSUBLOCATION,0.07,34.03,1,AGOROSUBLOCATION
AGOROSUBLOCATION,-0.27,34.98,2,AGOROSUBLOCATION
AGOTA,1.9,35.32,1,AGOTA
AGULEIAKIRR,4.18,34.35,1,AGULEIAKIRR
AGULI,1.82,35.95,1,AGULI
AGULO,-0.58,34.52,1,AGULO
AGULU,0.13,34.27,1,AGULU
AGULO,-0.55,34.07,2,AGULO
AGULO,-0.55,34.07,3,AGULO
AGULO,-0.55,34.07,4,AGULO
AGUTHI,-0.05,37.03,1,AGUTHI
AGUTHILOCATION,-0.05,37.03,1,AGUTHILOCATION
AHERO,-0.18,34.92,1,AHERO
AHMEDGHONGHO,-1.58,40.48,1,AHMEDGHONGHO
AHONO,0.07,34.55,1,AHONO
AICHARA,2.47,35.42,1,AICHARA
AIMO,-0.57,34.6,1,AIMO
AIMO,-0.57,34.62,2,AIMO
AINABKOI,-0.47,35.18,1,AINABKOI
AINABKOI,-0.47,35.18,2,AINABKOI
AINABKOI,0.02,35.52,3,AINABKOI
AINABKOI,0.02,35.52,4,AINABKOI
AINABKOI,0.03,35.65,5,AINABKOI
AINABKOI,0.03,35.65,6,AINABKOI
AINABGOI,-0.68,35.1,1,AINABGOI
AINABGOI,-0.68,35.1,2,AINABGOI
AINABGOI,-0.68,35.1,3,AINABGOI
AINABGOI,-0.68,35.1,4,AINABGOI
AINABKOIFEEDERROAD,0.2,35.48,1,AINABKOIFEEDERROAD
AINABKOISUBLOCATION,-0.47,35.18,1,AINABKOISUBLOCATION
AINABKOIVIADUCT,0.1,35.53,1,AINABKOIVIADUCT
AINABSIRET,-0.45,35.02,1,AINABSIRET
AINABSIRET,-0.45,35.02,2,AINABSIRET
AINABSIRET,-0.45,35.02,3,AINABSIRET
AINAMOI,-0.3,35.28,1,AINAMOI
AINAMOI,-0.3,35.28,2,AINAMOI
AINAMOISUBLOCATION,-0.3,35.3,1,AINAMOISUBLOCATION
AINAPLAKWET,-0.68,35.27,1,AINAPLAKWET
AINAPLAKWET,-0.68,35.27,2,AINAPLAKWET
AINAPLAKWET,-0.68,35.27,3,AINAPLAKWET
AINO,0.03,35.63,1,AINO
AINOBNGETUNYEK,-0.65,35.52,1,AINOBNGETUNYEK
AINOBNGETUNYEK,-0.73,35.38,2,AINOBNGETUNYEK
AINOBNGETUNYEK,-0.73,35.38,3,AINOBNGETUNYEK
AINOBNGETUNYEK,-0.73,35.38,4,AINOBNGETUNYEK
AINOMOTUA,-0.07,35.07,1,AINOMOTUA
AINOPNO,0.4,35.92,1,AINOPNO
AINOPSIWA,-0.03,35.18,1,AINOPSIWA
AINTREEESTATE,-1.2,36.88,1,AINTREEESTATE
AINUMUTUNGWE,-0.65,35.52,1,AINUMUTUNGWE
AIRAGWANI,-0.12,36.97,1,AIRAGWANI
AIRIRUA,2.15,36.98,1,AIRIRUA
AISAIK,-0.72,35.35,1,AISAIK
AISERE,0.23,34.7,1,AISERE
AITONG,-1.18,35.25,1,AITONG
AITONG DOINYO,-1.2,35.27,1,AITONG DOINYO
AITONG DOINYO,-1.2,35.27,2,AITONG DOINYO
AITONG DOINYO,-1.2,35.27,3,AITONG DOINYO
AIYAM,0.37,36.55,1,AIYAM
AIYAM,0.32,36.58,2,AIYAM
AIYAM,0.32,36.58,3,AIYAM
AIYANGIYANG,3.08,35.72,1,AIYANGIYANG
AJAIAROCK,-3.78,38.68,1,AJAIAROCK
AJAO,2.93,39.72,1,AJAO
AJAO,2.95,39.7,2,AJAO
AJAMARKU,2.27,37.9,1,AJAMARKU
AJAMARKU,2.27,37.9,2,AJAMARKU
AJIGO,-0.1,34.35,1,AJIGO
AJIGOSUBLOCATION,-0.08,34.3,1,AJIGOSUBLOCATION
AJIJIKNAIBORR,-2.88,37.62,1,AJIJIKNAIBORR
AJILAJISO,-2.12,39.72,1,AJILAJISO
AKAAITEPUTH,1.87,36.62,1,AKAAITEPUTH
AKACHIOLOCATION,0.12,38.62,1,AKACHIOLOCATION
AKADERTE,2.38,35.43,1,AKADERTE
AKAIGASUBLOCATION,0.05,37.85,1,AKAIGASUBLOCATION
AKALA,-0.07,34.43,1,AKALA
AKALA,-0.97,34.25,2,AKALA
AKALAR,0.53,39.08,1,AKALAR
AKALAR,1.7,40.82,2,AKALAR
AKALODAK,1.63,36.65,1,AKALODAK
AKANGORAMIRIEK,1.63,36.57,1,AKANGORAMIRIEK
AKARA,0.05,34.2,1,AKARA
AKARA,0.05,34.2,2,AKARA
AKARA,0.05,34.2,3,AKARA
AKARA,0.05,34.2,4,AKARA
AKATA,4.52,34.42,1,AKATA
AKATUMAN,2.48,34.97,1,AKATUMAN
AKATWAN,2.87,35.22,1,AKATWAN
AKATWAN,2.87,35.22,2,AKATWAN
AKECH,-0.53,34.48,1,AKECH
AKELAFOREST,-2.27,40.62,1,AKELAFOREST
AKELOSVILLAGE,-0.63,34.58,1,AKELOSVILLAGE
AKEOP,2.57,35.15,1,AKEOP
AKERIEMET,1.53,35.42,1,AKERIEMET
AKERIEMET,1.53,35.42,2,AKERIEMET
AKERECAMP,1.8,35.2,1,AKERECAMP
AKERECAMP,1.8,35.2,2,AKERECAMP
AKHALAR,0.92,40.2,1,AKHALAR
AKHURYA,2.25,36.15,1,AKHURYA
AKHURYA,2.25,36.15,2,AKHURYA
AKHURYO,2.22,35.87,1,AKHURYO
AKIJO,-0.73,34.45,1,AKIJO
AKIRANGONDUSUBLOCATION,0.03,37.9,1,AKIRANGONDUSUBLOCATION
AKILARANCH,-1.03,36.37,1,AKILARANCH
AKILARANCH,-1.03,36.37,2,AKILARANCH
AKIRIAMET,1.03,35.7,1,AKIRIAMET
AKIRIAMET,1.03,35.7,2,AKIRIAMET
AKIRIAMETH,2.08,35.13,1,AKIRIAMETH
AKIRIAMETH,2.27,35.2,2,AKIRIAMETH
AKIRIAMETSUBLOCATION,1.37,35.77,1,AKIRIAMETSUBLOCATION
AKIRIANGONDUSUBLOCATION,0.35,37.88,1,AKIRIANGONDUSUBLOCATION
AKIRIM EMURUA,2.05,36.73,1,AKIRIM EMURUA
AKIRIM EMURUA,2.05,36.73,2,AKIRIM EMURUA
AKIRIM EMURUA,2.05,36.73,3,AKIRIM EMURUA
AKIRIM EMURUA,2.05,36.73,4,AKIRIM EMURUA
AKITE,0.57,34.2,1,AKITE
AKITE,0.53,34.22,2,AKITE
AKITE,0.57,34.2,3,AKITE
AKITHEOSUBLOCATION,0.15,37.8,1,AKITHEOSUBLOCATION
AKITHIILOCATION,0.02,37.8,1,AKITHIILOCATION
AKITHIISUBLOCATION,0.2,37.77,1,AKITHIISUBLOCATION
AKITHKAAMOTHING,4.32,35.02,1,AKITHKAAMOTHING
AKITHKAAMOTHING,4.32,35.02,2,AKITHKAAMOTHING
AKITIANGEDRIMAMOLFORESTERSPOINT,3.13,35.02,1,AKITIANGEDRIMAMOLFORESTERSPOINT
AKOCHO,2.13,35.05,1,AKOCHO
AKOKO,-1.13,34.57,1,AKOKO
AKOKO,-1.13,34.57,2,AKOKO
AKOKO,-1.02,34.58,3,AKOKO
AKOKO,-0.15,34.2,4,AKOKO
AKOM,-0.77,34.15,1,AKOM
AKOPAL,4.35,35.55,1,AKOPAL
AKOPAL,4.35,35.55,2,AKOPAL
AKORES,2.27,35.18,1,AKORES
AKORET,1.4,36.02,1,AKORET
AKORET,0.6,34.22,2,AKORET
AKORET,0.6,34.22,3,AKORET
AKORET,1.4,36.07,4,AKORET
AKORETSUBLOCATION,1.38,36.02,1,AKORETSUBLOCATION
AKORINGELECH,2.13,35.02,1,AKORINGELECH
AKOROYANSUBLOCATION,0.63,35.98,1,AKOROYANSUBLOCATION
AKERON,1.82,35.3,1,AKERON
AKERON,1.82,35.3,2,AKERON
AKERON,1.82,35.3,3,AKERON
AKORUKORU,2.3,35.03,1,AKORUKORU
AKOTHIMA,0.03,37.97,1,AKOTHIMA
AKUMAIT,2.47,35.03,1,AKUMAIT
AKWANGA,2.3,35.02,1,AKWANGA
ALALBANDEDACH,2.7,39.47,1,ALALBANDEDACH
ALALE,2.23,35.02,1,ALALE
ALALE,3.55,40.27,2,ALALE
ALALE,2.2,35.1,3,ALALE
ALAMONGES,1.88,35.03,1,ALAMONGES
ALANGAARBA,0.12,40.42,1,ALANGAARBA
ALANGAARBA,-0.15,39.93,2,ALANGAARBA
ALANGAARBA,-0.15,39.93,3,ALANGAARBA
ALANGO NAMBALA,0.4,38.45,1,ALANGO NAMBALA
ALANGODER,1.07,39.95,1,ALANGODER
ALANGODIKO,0.38,38.43,1,ALANGODIKO
ALANGOGURRU,-0.15,39.93,1,ALANGOGURRU
ALANGOSHIRA,-2.82,39.8,1,ALANGOSHIRA
ALARA,-0.4,34.47,1,ALARA
ALARA,-0.77,34.52,2,ALARA
ALARAYENGA,-0.12,34.02,1,ALARAYENGA
ALAROSH,-1.6,35.73,1,ALAROSH
ALAROSH,-1.6,35.73,2,ALAROSH
ALASHO OLDOINYO,-1.65,35.97,1,ALASHO OLDOINYO
ALATI,3.35,39.92,1,ALATI
ALBURKAINA,1.88,35.18,1,ALBURKAINA
ALDAI,0.08,34.07,1,ALDAI
ALEGOCENTRALLOCATION,0.07,34.25,1,ALEGOCENTRALLOCATION
ALEGOEASTLOCATION,0.07,34.28,1,ALEGOEASTLOCATION
ALEGOKERO,0.73,40.22,1,ALEGOKERO
ALEGOWESTLOCATION,0.1,34.02,1,ALEGOWESTLOCATION
ALENDO,-0.82,34.2,1,ALENDO
ALENDU,-0.02,34.82,1,ALENDU
ALETETESUBLOCATION,-3.02,39.97,1,ALETETESUBLOCATION
ALGE,2.53,39.68,1,ALGE
ALGE,2.53,39.68,2,ALGE
ALGI,-0.92,38.9,1,ALGI
ALGI KUBI,3.77,36.43,1,ALGI KUBI
ALIA,-3.58,38.28,1,ALIA
ALIA,-3.58,38.28,2,ALIA
ALIAGAN,-1.03,40.73,1,ALIAGAN
ALIAGAN,-1.03,40.73,2,ALIAGAN
ALIALIN,2.78,40.27,1,ALIALIN
ALIBUR,0.35,38.08,1,ALIBUR
ALICE LAKE,-0.07,37.47,1,ALICE LAKE
ALIGAB,0.3,40.8,1,ALIGAB
ALIGOLLO,2.58,39.92,1,ALIGOLLO
ALIGOLLO,2.58,39.92,2,ALIGOLLO
ALIGOLLO,2.58,39.98,3,ALIGOLLO
ALIGOLLO,2.58,39.98,4,ALIGOLLO
ALINJUGUL,-0.05,40.48,1,ALINJUGUL
ALISAKAR,0.48,38.85,1,ALISAKAR
ALJIJU,0.28,37.27,1,ALJIJU
ALKAKORPASS,3.2,34.95,1,ALKAKORPASS
ALLENSWATERFALL,-0.15,37.97,1,ALLENSWATERFALL
ALLIABAY,3.75,36.25,1,ALLIABAY
ALLUS,0.05,37.05,1,ALLUS
ALONGOLOMOI,4.18,35.7,1,ALONGOLOMOI
ALOWALAN,2.22,36.63,1,ALOWALAN
ALPHEGA,0.05,35.95,1,ALPHEGA
ALTHEGA,0.07,35.95,1,ALTHEGA
ALUARAN,2.25,35.98,1,ALUARAN
ALUNGO,-0.18,34.05,1,ALUNGO
ALUNGOSUBLOCATION,-0.02,34.48,1,ALUNGOSUBLOCATION
ALUPE,0.05,34.12,1,ALUPE
ALUPE,0.05,34.12,2,ALUPE
ALUOR,-0.02,34.47,1,ALUOR
ALUOR,-0.02,34.47,2,ALUOR
AMAIRO,0.6,34.23,1,AMAIRO
AMAIRO,0.62,34.2,2,AMAIRO
AMAK,-3.75,38.63,1,AMAK
AMAK,-3.75,38.63,2,AMAK
AMAKURA,0.57,34.27,1,AMAKURA
AMAKURA,0.57,34.27,2,AMAKURA
AMAKURA,0.57,34.27,3,AMAKURA
AMAKURIAT,2.28,35.27,1,AMAKURIAT
AMALA,-1.03,35.23,1,AMALA
AMALABRIDGE,-0.9,35.43,1,AMALABRIDGE
AMALER,1.63,35.77,1,AMALER
AMASAGO,-0.73,34.85,1,AMASAGO
AMASEGE,-0.78,34.93,1,AMASEGE
AMBERLEYESTATE,-1.02,36.87,1,AMBERLEYESTATE
AMBIRA,0.17,34.27,1,AMBIRA
AMBIRASUBLOCATION,0.02,34.27,1,AMBIRASUBLOCATION
AMBONI,-0.4,36.98,1,AMBONI
AMBOSELI,-2.07,37.28,1,AMBOSELI
AMBOSELIGAMERESERVE,-2.05,37.28,1,AMBOSELIGAMERESERVE
AMBOSELIGAMERESERVE,-2.05,37.28,2,AMBOSELIGAMERESERVE
AMBOSELIGAMERESERVE,-2.05,37.28,3,AMBOSELIGAMERESERVE
AMBUSKET,-0.62,35.65,1,AMBUSKET
AMERITHINYIN,3.4,35.58,1,AMERITHINYIN
AMETHO,0.15,37.87,1,AMETHO
AMKENIESTATE,-3.87,39.8,1,AMKENIESTATE
AMOHIRA,0.02,34.72,1,AMOHIRA
AMOJO,2.2,35.45,1,AMOJO
AMONGURA,0.55,34.13,1,AMONGURA
AMONGURA,0.55,34.15,2,AMONGURA
AMOSO,-0.92,34.42,1,AMOSO
AMOYA,-0.08,34.35,1,AMOYA
AMOYA,-0.08,34.35,2,AMOYA
AMOYO,-0.98,34.02,1,AMOYO
AMTEREN,0.25,36.02,1,AMTEREN
AMUATHIbSUBLOCATION,0.45,38.02,1,AMUATHIBSUBLOCATION
AMUATHIcSUBLOCATION,0.43,38.08,1,AMUATHICSUBLOCATION
AMUGAA,0.02,37.88,1,AMUGAA
AMUKURASUBLOCATION,0.6,34.27,1,AMUKURASUBLOCATION
AMUNGAMBO,0.32,34.3,1,AMUNGAMBO
AMUGENTI,0.18,37.97,1,AMUGENTI
AMUGENTI,0.18,37.97,2,AMUGENTI
AMUNGENTISUBLOCATION,0.18,37.97,1,AMUNGENTISUBLOCATION
AMUNYAI,1.85,35.2,1,AMUNYAI
AMUNYAI,1.85,35.23,2,AMUNYAI
AMURWA,1.73,35.03,1,AMURWA
AMUTON,2.53,35.12,1,AMUTON
AMWAATHISUBLOCATION,0.45,37.98,1,AMWAATHISUBLOCATION
AMWAMBA,0.18,37.93,1,AMWAMBA
AMWATHISUBLOCATION,0.22,37.92,1,AMWATHISUBLOCATION
ANADANGURU,0.37,37.3,1,ANADANGURU
ANADANGURU,0.37,37.3,2,ANADANGURU
ANADANGURUPLAIN,0.37,37.28,1,ANADANGURUPLAIN
ANAGASILE,3.23,39.63,1,ANAGASILE
ANAK EMURUA,2.75,35.58,1,ANAK EMURUA
ANALANGATA,-1.25,35.07,1,ANALANGATA
ANALIWA,-1.72,35.48,1,ANALIWA
ANAM,4.3,34.68,1,ANAM
ANAM,4.3,34.68,2,ANAM
ANAM,4.3,34.68,3,ANAM
ANAM,4.3,34.68,4,ANAM
ANAM,4.3,34.68,5,ANAM
ANAMUTON,2.45,35.13,1,ANAMUTON
ANAMUTON,2.43,35.13,2,ANAMUTON
ANAMUTON,2.48,35.15,3,ANAMUTON
ANANOI,0.4,35.65,1,ANANOI
ANANOT,-1.42,40.3,1,ANANOT
ANANOT,-1.42,40.3,2,ANANOT
ANANOTU,-1.4,40.03,1,ANANOTU
ANASA,-2.52,40.3,1,ANASA
ANCHENGE,0.2,37.93,1,ANCHENGE
ANDERI,2.25,36.92,1,ANDERI
ANDINGO,-0.37,34.85,1,ANDINGO
ANDINGO,-0.03,34.52,2,ANDINGO
ANDIWOSVILLAGE,-0.52,34.7,1,ANDIWOSVILLAGE
ANDOKHORA,2.62,39.53,1,ANDOKHORA
ANDREWSVOLCANO,2.3,36.58,1,ANDREWSVOLCANO
ANDU,2.53,39.05,1,ANDU
ANDUNGOSI,0.52,34.15,1,ANDUNGOSI
ANDZARANI,-4.03,39.45,1,ANDZARANI
ANDZARANI,-4.03,39.45,2,ANDZARANI
ANEKO,-0.93,34.13,1,ANEKO
ANEKO,-0.95,34.15,2,ANEKO
ANELBER SOIT,0.93,38.15,1,ANELBER SOIT
ANGAGA,-0.98,34.62,1,ANGAGA
ANGAMOJAK,3.75,35.42,1,ANGAMOJAK
ANGARRANI,-1.47,35.13,1,ANGARRANI
ANGATABARAGOI,-1.25,35.08,1,ANGATABARAGOI
ANGATABARAGOI,-1.38,34.78,2,ANGATABARAGOI
ANGATAEINGATA,-2.53,37.68,1,ANGATAEINGATA
ANGATAEINGATA,-2.53,37.68,2,ANGATAEINGATA
ANGATALOITA,-1.38,34.78,1,ANGATALOITA
ANGARANAADO,-1.25,35.98,1,ANGARANAADO
ANGARANAADO,-1.25,35.98,2,ANGARANAADO
ANGATAOLDUROROI,-1.38,35.1,1,ANGATAOLDUROROI
ANGATAWERGOI,0.72,36.73,1,ANGATAWERGOI
ANGDIRIN MORU,4.05,35.8,1,ANGDIRIN MORU
ANGELI,0.23,37.82,1,ANGELI
ANGENO,-0.45,34.82,1,ANGENO
ANGIBUN MORU,3.75,34.93,1,ANGIBUN MORU
ANGICHOM MORU,3.87,34.23,1,ANGICHOM MORU
ANGICHOMIN MORU,3.87,35.7,1,ANGICHOMIN MORU
ANGICHOMIN MORU,3.87,35.7,2,ANGICHOMIN MORU
ANGICHOMIN MORU,3.87,35.7,3,ANGICHOMIN MORU
ANGIRO,-0.05,34.53,1,ANGIRO
ANGLOGITAT,1.95,35.42,1,ANGLOGITAT
ANGMATIA,4.57,35.1,1,ANGMATIA
ANGOGASUBLOCATION,-0.13,34.48,1,ANGOGASUBLOCATION
ANGOLOL,2.18,35.12,1,ANGOLOL
ANGORANGORA,2.63,35.4,1,ANGORANGORA
ANGORANGORA,2.63,35.35,2,ANGORANGORA
ANGOROM,0.05,34.13,1,ANGOROM
ANGOROM,0.48,34.13,2,ANGOROM
ANGOROMO,0.48,34.13,1,ANGOROMO
ANGOROMO,0.48,34.13,2,ANGOROMO
ANGUGO,-0.9,34.18,1,ANGUGO
ANGURIASUBLOCATION,0.7,34.32,1,ANGURIASUBLOCATION
ANGUSFOLLY,-0.25,36.6,1,ANGUSFOLLY
ANIKIA,-2.87,39.3,1,ANIKIA
ANIN,0.68,35.52,1,ANIN
ANISA,1.65,40.02,1,ANISA
ANJEGO,-0.97,34.32,1,ANJEGO
ANKAMIA,0.13,37.87,1,ANKAMIA
ANKAMIASUBLOCATION,0.13,37.87,1,ANKAMIASUBLOCATION
ANMERESTATE,-1.13,36.08,1,ANMERESTATE
ANO GOF,2.45,38.02,1,ANO GOF
ANOTINGO,-0.35,34.52,1,ANOTINGO
ANTUAMBUISUBLOCATION,0.07,37.08,1,ANTUAMBUISUBLOCATION
ANTUAMBURISUBLOCATION,0.37,37.92,1,ANTUAMBURISUBLOCATION
ANTUBAIGA,0.13,37.77,1,ANTUBAIGA
ANTUBETWE,0.27,37.95,1,ANTUBETWE
ANTUBETWEKIONGOSUBLOCATION,0.27,37.98,1,ANTUBETWEKIONGOSUBLOCATION
ANTUBETWENJOONESUBLOCATION,0.23,37.97,1,ANTUBETWENJOONESUBLOCATION
ANTUBUCHIOSUBLOCATION,0.22,37.95,1,ANTUBUCHIOSUBLOCATION
ANYAGALIM,2.62,35.2,1,ANYAGALIM
ANYIEKA,0.23,34.27,1,ANYIEKA
ANYIKA,0.22,34.25,1,ANYIKA
ANYIKA,0.22,34.25,2,ANYIKA
ANYIKO,0.12,34.53,1,ANYIKO
ANYIKOSUBLOCATION,0.12,34.52,1,ANYIKOSUBLOCATION
ANYIKOSUBLOCATION,0.22,34.25,2,ANYIKOSUBLOCATION
ANYUONGI,-0.18,34.28,1,ANYUONGI
ANZWANI,-4.63,39.37,1,ANZWANI
ANZWANI RAS,-4.62,39.4,1,ANZWANI RAS
AOCHDOK,-0.57,34.38,1,AOCHDOK
AOCHMUGA,-0.63,34.58,1,AOCHMUGA
AORACHAK,-0.05,34.63,1,AORACHAK
AORACHAK,-0.05,34.63,2,AORACHAK
AORACHAK,-0.05,34.63,3,AORACHAK
AORACHUODHO,-0.78,34.23,1,AORACHUODHO
AORAMODHO,-0.05,34.48,1,AORAMODHO
AORAMODHO,-0.05,34.48,2,AORAMODHO
AORAMODHO,-0.05,34.48,3,AORAMODHO
